procurement_id,procurement_date,day_of_week,is_sunday_procurement,school_id,vendor_name,vendor_group,food_category,raw_grain_type,quantity_kg,total_cost_inr,cost_per_kg,payment_status
MDM010100,2025-01-09,Thursday,0,SCH0252,Kumar Supplies,Kumar Supplies Group,Rice,Chawal,38.3,1532.0,40.0,PENDING
MDM005258,2025-01-09,Thursday,0,SCH0281,Goyal Rice Mill,Goyal Group,Wheat,Atta,,816.0,,PAID
MDM010513,2025-01-09,Thursday,0,SCH0338,Singh Agro,Singh Group,Mustard Oil,Cooking Oil,14.5,1740.0,120.0,
MDM007749,2025-01-09,Thursday,0,SCH0522,Goyal Rice Mill,Goyal Group,Mustard Oil,Oil,59.0,7080.0,120.0,DUE
MDM002938,2025-01-09,Thursday,0,SCH0578,Goyal Rice Mill,Goyal Group,Mustard Oil,Cooking Oil,32.8,3936.0,120.0,PAID
MDM010285,2025-01-10,Friday,0,SCH0013,Kumar General Store,Kumar Group,Wheat,Wheat,26.3,789.0,30.0,DUE
MDM000393,2025-01-10,Friday,0,SCH0054,Goyal Rice Mill,Goyal Group,Mustard Oil,Cooking Oil,52.6,6312.0,120.0,PAID
MDM001367,2025-01-10,Friday,0,SCH0059,Kumar & Co.,Kumar Group,Rice,RICE,48.1,1924.0,40.0,PENDING
MDM011511,2025-01-10,Friday,0,SCH0096,Goyal Rice Mill,Goyal Group,Mustard Oil,Sarson Tel,46.8,5616.0,120.0,PENDING
MDM008348,2025-01-10,Friday,0,SCH0141,Sharma Traders,Sharma Group,Wheat,gehun,35.7,1071.0,30.0,PENDING
MDM004026,2025-01-10,Friday,0,SCH0146,S. Agro Works,Singh Group,Mustard Oil,Cooking Oil,59.8,7176.0,120.0,DUE
MDM011992,2025-01-10,Friday,0,SCH0178,Singh Agro,Singh Group,Mustard Oil,Mustard Oil,52.1,6252.0,120.0,PAID
MDM010760,2025-01-10,Friday,0,SCH0240,Kumar Supplies,Kumar Supplies Group,Rice,Chawal,44.7,1788.0,40.0,PENDING
MDM003796,2025-01-10,Friday,0,SCH0269,Sharma Traders,Sharma Group,Rice,RICE,49.0,1960.0,40.0,PAID
MDM006771,2025-01-10,Friday,0,SCH0323,Goyal Rice Mill,Goyal Group,Rice,chawal,16.8,672.0,40.0,
MDM000826,2025-01-10,Friday,0,SCH0486,S. Agro Works,Singh Group,Wheat,Wheat,24.0,720.0,30.0,PENDING
MDM007943,2025-01-11,Saturday,0,SCH0007,Goyal Enterprises,Goyal Group,Mustard Oil,Sarson Tel,56.0,6720.0,120.0,PAID
MDM005764,2025-01-11,Saturday,0,SCH0007,Goyal Enterprises,Goyal Group,Pulses / Dal,dal,55.7,5013.0,90.0,PAID
MDM003190,2025-01-11,Saturday,0,SCH0018,Sharma & Sons,Sharma Group,Mustard Oil,Oil,37.9,,,PAID
MDM009681,2025-01-11,Saturday,0,SCH0033,Singh Agro,Singh Group,Rice,Rice,46.3,1852.0,40.0,PAID
MDM002801,2025-01-11,Saturday,0,SCH0245,Sharma Traders,Sharma Group,Mustard Oil,Oil,53.7,6444.0,120.0,
MDM004741,2025-01-11,Saturday,0,SCH0269,S. Agro Works,Singh Group,Rice,Chawal,,1932.0,,PENDING
MDM003309,2025-01-11,Saturday,0,SCH0303,Goyal Rice Mill,Goyal Group,Wheat,Wheat,58.3,1749.0,30.0,DUE
MDM001283,2025-01-11,Saturday,0,SCH0326,Singh Agro,Singh Group,Mustard Oil,Cooking Oil,40.7,4884.0,120.0,
MDM007622,2025-01-11,Saturday,0,SCH0406,Goyal Rice Mill,Goyal Group,Wheat,gehun,43.1,1293.0,30.0,PAID
MDM003310,2025-01-11,Saturday,0,SCH0454,Goyal Rice Mill,Goyal Group,Pulses / Dal,Pulses,51.4,4626.0,90.0,
MDM010070,2025-01-11,Saturday,0,SCH0500,Kumar Supplies,Kumar Supplies Group,Mustard Oil,Oil,42.0,5040.0,120.0,PENDING
MDM003406,2025-01-11,Saturday,0,SCH0500,Sharma Traders,Sharma Group,Mustard Oil,Mustard Oil,22.1,2652.0,120.0,
MDM002837,2025-01-11,Saturday,0,SCH0600,Sharma & Sons,Sharma Group,Rice,chawal,28.7,1148.0,40.0,PAID
MDM004951,2025-01-12,Sunday,1,SCH0103,Kumar General Store,Kumar Group,Mustard Oil,Mustard Oil,50.6,6072.0,120.0,PENDING
MDM010444,2025-01-12,Sunday,1,SCH0186,Singh Brothers,Singh Group,Wheat,Gehun,52.6,1578.0,30.0,DUE
MDM007047,2025-01-12,Sunday,1,SCH0248,Sharma & Sons,Sharma Group,Wheat,Wheat,46.9,1407.0,30.0,PENDING
MDM006841,2025-01-12,Sunday,1,SCH0437,Goyal Enterprises,Goyal Group,Pulses / Dal,Dal,29.6,2664.0,90.0,PAID
MDM008792,2025-01-12,Sunday,1,SCH0443,Kumar Supplies,Kumar Supplies Group,Pulses / Dal,Lentils,52.0,4680.0,90.0,PAID
MDM006636,2025-01-12,Sunday,1,SCH0493,Kumar Supplies,Kumar Supplies Group,Wheat,gehun,57.4,1722.0,30.0,PENDING
MDM010551,2025-01-12,Sunday,1,SCH0524,S. Agro Works,Singh Group,Wheat,Atta,58.8,1764.0,30.0,PAID
MDM001168,2025-01-12,Sunday,1,SCH0584,Singh Agro,Singh Group,Pulses / Dal,Pulses,39.5,3555.0,90.0,PENDING
MDM001001,2025-02-04,Tuesday,0,SCH0043,Kumar & Co.,Kumar Group,Mustard Oil,Cooking Oil,23.0,2760.0,120.0,PAID
MDM001484,2025-02-04,Tuesday,0,SCH0093,S. Agro Works,Singh Group,Mustard Oil,Mustard Oil,38.5,4620.0,120.0,PAID
MDM008440,2025-02-04,Tuesday,0,SCH0130,Singh Agro,Singh Group,Wheat,WHEAT,28.5,855.0,30.0,PENDING
MDM000092,2025-02-04,Tuesday,0,SCH0142,Singh Brothers,Singh Group,Wheat,gehun,,1611.0,,PAID
MDM008923,2025-02-04,Tuesday,0,SCH0169,S. Agro Works,Singh Group,Mustard Oil,Cooking Oil,10.9,1308.0,120.0,
MDM005208,2025-02-04,Tuesday,0,SCH0208,Singh Agro,Singh Group,Wheat,WHEAT,10.8,,,PENDING
MDM007988,2025-02-04,Tuesday,0,SCH0592,Singh Brothers,Singh Group,Pulses / Dal,Daal,,1692.0,,PENDING
MDM004492,2025-02-05,Wednesday,0,SCH0003,Goyal Rice Mill,Goyal Group,Wheat,Gehun,41.9,,,PENDING
MDM006523,2025-02-05,Wednesday,0,SCH0101,Goyal Rice Mill,Goyal Group,Pulses / Dal,Pulses,42.2,3798.0,90.0,PAID
MDM001853,2025-02-05,Wednesday,0,SCH0115,Sharma Traders,Sharma Group,Pulses / Dal,Lentils,12.9,1161.0,90.0,PENDING
MDM002803,2025-02-05,Wednesday,0,SCH0176,Sharma & Sons,Sharma Group,Wheat,Atta,56.0,1680.0,30.0,PENDING
MDM009817,2025-02-05,Wednesday,0,SCH0315,Sharma Traders,Sharma Group,Mustard Oil,Sarson Tel,20.7,2484.0,120.0,PAID
MDM000486,2025-02-05,Wednesday,0,SCH0390,Kumar & Co.,Kumar Group,Pulses / Dal,Dal,23.3,2097.0,90.0,PENDING
MDM010130,2025-02-05,Wednesday,0,SCH0455,Singh Brothers,Singh Group,Wheat,WHEAT,56.9,1707.0,30.0,PAID
MDM009958,2025-02-05,Wednesday,0,SCH0455,Sharma & Sons,Sharma Group,Pulses / Dal,dal,41.7,3753.0,90.0,PENDING
MDM004622,2025-02-05,Wednesday,0,SCH0489,Goyal Enterprises,Goyal Group,Mustard Oil,Mustard Oil,42.7,5124.0,120.0,DUE
MDM010247,2025-02-05,Wednesday,0,SCH0495,Kumar & Co.,Kumar Group,Rice,RICE,,1376.0,,PAID
MDM001285,2025-02-05,Wednesday,0,SCH0580,Kumar General Store,Kumar Group,Wheat,gehun,49.9,1497.0,30.0,PAID
MDM010121,2025-02-06,Thursday,0,SCH0021,Goyal Rice Mill,Goyal Group,Pulses / Dal,Lentils,35.5,3195.0,90.0,PENDING
MDM006364,2025-02-06,Thursday,0,SCH0040,Singh Brothers,Singh Group,Wheat,gehun,,1638.0,,PAID
MDM010920,2025-02-06,Thursday,0,SCH0065,Kumar & Co.,Kumar Group,Pulses / Dal,Lentils,33.7,3033.0,90.0,DUE
MDM011271,2025-02-06,Thursday,0,SCH0129,Sharma & Sons,Sharma Group,Rice,RICE,26.7,1068.0,40.0,DUE
MDM001762,2025-02-06,Thursday,0,SCH0130,Singh Brothers,Singh Group,Wheat,Atta,,1524.0,,PENDING
MDM011723,2025-02-06,Thursday,0,SCH0198,Singh Brothers,Singh Group,Mustard Oil,Cooking Oil,15.0,1800.0,120.0,PAID
MDM006136,2025-02-06,Thursday,0,SCH0203,Sharma & Sons,Sharma Group,Wheat,gehun,23.8,714.0,30.0,PENDING
MDM009156,2025-02-06,Thursday,0,SCH0217,Goyal Rice Mill,Goyal Group,Pulses / Dal,Pulses,,3474.0,,PENDING
MDM006244,2025-02-06,Thursday,0,SCH0354,Kumar & Co.,Kumar Group,Mustard Oil,Cooking Oil,50.5,,,DUE
MDM004056,2025-02-06,Thursday,0,SCH0401,Sharma & Sons,Sharma Group,Pulses / Dal,Lentils,25.9,2331.0,90.0,PENDING
MDM006784,2025-02-06,Thursday,0,SCH0437,Goyal Enterprises,Goyal Group,Rice,RICE,14.1,564.0,40.0,PENDING
MDM001903,2025-02-06,Thursday,0,SCH0514,Kumar & Co.,Kumar Group,Rice,RICE,42.4,1696.0,40.0,PENDING
MDM009064,2025-02-06,Thursday,0,SCH0521,Kumar & Co.,Kumar Group,Mustard Oil,Sarson Tel,,2580.0,,PENDING
MDM004343,2025-02-06,Thursday,0,SCH0540,Sharma Traders,Sharma Group,Mustard Oil,Sarson Tel,,3264.0,,PENDING
MDM008919,2025-02-07,Friday,0,SCH0007,Goyal Rice Mill,Goyal Group,Pulses / Dal,Lentils,18.3,1647.0,90.0,PENDING
MDM003088,2025-02-07,Friday,0,SCH0012,Goyal Rice Mill,Goyal Group,Wheat,Atta,30.0,900.0,30.0,DUE
MDM004080,2025-02-07,Friday,0,SCH0029,Goyal Rice Mill,Goyal Group,Mustard Oil,Cooking Oil,41.7,5004.0,120.0,PAID
MDM001041,2025-02-07,Friday,0,SCH0091,Singh Brothers,Singh Group,Rice,chawal,26.0,1040.0,40.0,PAID
MDM005353,2025-02-07,Friday,0,SCH0349,Goyal Rice Mill,Goyal Group,Wheat,Gehun,30.4,912.0,30.0,PAID
MDM008183,2025-02-07,Friday,0,SCH0364,Kumar General Store,Kumar Group,Rice,Chawal,45.5,1820.0,40.0,PAID
MDM005769,2025-02-07,Friday,0,SCH0421,Goyal Rice Mill,Goyal Group,Wheat,Atta,36.6,1098.0,30.0,DUE
MDM005280,2025-02-07,Friday,0,SCH0457,Sharma Traders,Sharma Group,Mustard Oil,Sarson Tel,,5088.0,,PAID
MDM002276,2025-02-07,Friday,0,SCH0583,Kumar General Store,Kumar Group,Mustard Oil,Sarson Tel,,4896.0,,PENDING
MDM002467,2025-02-08,Saturday,0,SCH0003,Kumar General Store,Kumar Group,Pulses / Dal,Dal,21.3,1917.0,90.0,DUE
MDM007070,2025-02-08,Saturday,0,SCH0024,Goyal Enterprises,Goyal Group,Rice,Chawal,41.6,1664.0,40.0,PENDING
MDM002680,2025-02-08,Saturday,0,SCH0066,Goyal Rice Mill,Goyal Group,Pulses / Dal,Daal,16.7,1503.0,90.0,PENDING
MDM001505,2025-02-08,Saturday,0,SCH0114,Singh Brothers,Singh Group,Pulses / Dal,Pulses,41.6,3744.0,90.0,PENDING
MDM008255,2025-02-08,Saturday,0,SCH0165,Goyal Rice Mill,Goyal Group,Mustard Oil,Cooking Oil,41.9,5028.0,120.0,PAID
MDM008299,2025-02-08,Saturday,0,SCH0226,S. Agro Works,Singh Group,Wheat,Gehun,,1623.0,,
MDM005290,2025-02-08,Saturday,0,SCH0351,Kumar General Store,Kumar Group,Mustard Oil,Cooking Oil,23.5,2820.0,120.0,PAID
MDM007541,2025-02-08,Saturday,0,SCH0413,Goyal Enterprises,Goyal Group,Mustard Oil,Cooking Oil,59.0,7080.0,120.0,
MDM006721,2025-02-08,Saturday,0,SCH0483,S. Agro Works,Singh Group,Rice,chawal,55.1,2204.0,40.0,PAID
MDM001161,2025-02-09,Sunday,1,SCH0001,Sharma Traders,Sharma Group,Wheat,gehun,35.4,1062.0,30.0,PAID
MDM010674,2025-02-09,Sunday,1,SCH0043,Sharma Traders,Sharma Group,Rice,Chawal,,1328.0,,PENDING
MDM005724,2025-02-09,Sunday,1,SCH0076,Kumar & Co.,Kumar Group,Wheat,Gehun,50.8,,,PAID
MDM010266,2025-02-09,Sunday,1,SCH0152,Sharma & Sons,Sharma Group,Rice,Chawal,21.4,856.0,40.0,PAID
MDM006320,2025-02-09,Sunday,1,SCH0152,Sharma Traders,Sharma Group,Mustard Oil,Sarson Tel,51.7,6204.0,120.0,PENDING
MDM006842,2025-02-09,Sunday,1,SCH0178,Singh Agro,Singh Group,Pulses / Dal,Daal,49.8,4482.0,90.0,DUE
MDM005646,2025-02-09,Sunday,1,SCH0215,Goyal Rice Mill,Goyal Group,Pulses / Dal,Daal,12.6,1134.0,90.0,DUE
MDM010020,2025-02-09,Sunday,1,SCH0334,Kumar & Co.,Kumar Group,Rice,RICE,14.8,592.0,40.0,PAID
MDM007861,2025-02-09,Sunday,1,SCH0387,Goyal Rice Mill,Goyal Group,Rice,chawal,20.7,828.0,40.0,PAID
MDM000008,2025-02-09,Sunday,1,SCH0392,Kumar Supplies,Kumar Supplies Group,Wheat,Wheat,52.2,1566.0,30.0,PAID
MDM004222,2025-02-09,Sunday,1,SCH0493,Sharma Traders,Sharma Group,Pulses / Dal,Lentils,59.0,5310.0,90.0,PAID
MDM002146,2025-02-09,Sunday,1,SCH0549,Singh Brothers,Singh Group,Pulses / Dal,Dal,26.1,2349.0,90.0,
MDM010756,2025-02-09,Sunday,1,SCH0555,Sharma & Sons,Sharma Group,Mustard Oil,Sarson Tel,,6504.0,,PAID
MDM001900,2025-02-09,Sunday,1,SCH0584,Kumar General Store,Kumar Group,Rice,RICE,21.9,876.0,40.0,PENDING
MDM004087,2025-02-10,Monday,0,SCH0027,Kumar General Store,Kumar Group,Rice,chawal,33.5,1340.0,40.0,
MDM006245,2025-02-10,Monday,0,SCH0114,Sharma Traders,Sharma Group,Wheat,gehun,21.3,639.0,30.0,PENDING
MDM005039,2025-02-10,Monday,0,SCH0132,Kumar General Store,Kumar Group,Wheat,Atta,,,,DUE
MDM000502,2025-02-10,Monday,0,SCH0136,Singh Agro,Singh Group,Pulses / Dal,Pulses,23.0,2070.0,90.0,DUE
MDM002728,2025-02-10,Monday,0,SCH0276,Goyal Rice Mill,Goyal Group,Wheat,WHEAT,55.3,1659.0,30.0,PAID
MDM004786,2025-02-10,Monday,0,SCH0300,Kumar & Co.,Kumar Group,Rice,chawal,43.8,1752.0,40.0,PAID
MDM002641,2025-02-10,Monday,0,SCH0301,Goyal Rice Mill,Goyal Group,Mustard Oil,Mustard Oil,36.1,4332.0,120.0,PENDING
MDM001311,2025-02-10,Monday,0,SCH0393,Goyal Rice Mill,Goyal Group,Wheat,Wheat,,999.0,,PAID
MDM000416,2025-02-10,Monday,0,SCH0427,Singh Agro,Singh Group,Rice,RICE,54.2,2168.0,40.0,PAID
MDM008963,2025-02-10,Monday,0,SCH0441,Kumar General Store,Kumar Group,Wheat,Wheat,49.0,1470.0,30.0,
MDM003007,2025-02-10,Monday,0,SCH0502,Singh Brothers,Singh Group,Pulses / Dal,Lentils,52.9,4761.0,90.0,PAID
MDM007508,2025-02-10,Monday,0,SCH0576,Singh Agro,Singh Group,Mustard Oil,Oil,,4440.0,,DUE
MDM010054,2025-02-10,Monday,0,SCH0588,Goyal Enterprises,Goyal Group,Wheat,Gehun,48.8,1464.0,30.0,PAID
MDM003184,2025-02-11,Tuesday,0,SCH0109,Kumar Supplies,Kumar Supplies Group,Mustard Oil,Mustard Oil,34.9,4188.0,120.0,PAID
MDM004001,2025-02-11,Tuesday,0,SCH0163,Sharma Traders,Sharma Group,Rice,Rice,41.8,1672.0,40.0,DUE
MDM006182,2025-02-11,Tuesday,0,SCH0311,Sharma & Sons,Sharma Group,Rice,chawal,22.1,,,PENDING
MDM004902,2025-02-11,Tuesday,0,SCH0327,Goyal Rice Mill,Goyal Group,Rice,Rice,55.5,2220.0,40.0,DUE
MDM009546,2025-02-11,Tuesday,0,SCH0347,Sharma Traders,Sharma Group,Wheat,WHEAT,19.5,585.0,30.0,PENDING
MDM003234,2025-02-11,Tuesday,0,SCH0376,Goyal Rice Mill,Goyal Group,Mustard Oil,Mustard Oil,24.8,2976.0,120.0,DUE
MDM002754,2025-02-11,Tuesday,0,SCH0431,Goyal Enterprises,Goyal Group,Wheat,Gehun,20.7,621.0,30.0,PAID
MDM010493,2025-02-11,Tuesday,0,SCH0554,Sharma Traders,Sharma Group,Wheat,Atta,24.2,726.0,30.0,PENDING
MDM011948,2025-02-12,Wednesday,0,SCH0048,Kumar Supplies,Kumar Supplies Group,Rice,RICE,,480.0,,PAID
MDM006675,2025-02-12,Wednesday,0,SCH0123,S. Agro Works,Singh Group,Mustard Oil,Oil,,1368.0,,PENDING
MDM007536,2025-02-12,Wednesday,0,SCH0177,Goyal Enterprises,Goyal Group,Wheat,Wheat,38.7,1161.0,30.0,PAID
MDM005248,2025-02-12,Wednesday,0,SCH0195,Goyal Rice Mill,Goyal Group,Mustard Oil,Cooking Oil,57.6,6912.0,120.0,DUE
MDM001849,2025-02-12,Wednesday,0,SCH0197,Sharma Traders,Sharma Group,Rice,Rice,46.9,1876.0,40.0,PENDING
MDM007521,2025-02-12,Wednesday,0,SCH0231,Kumar & Co.,Kumar Group,Rice,RICE,,1388.0,,DUE
MDM008636,2025-02-12,Wednesday,0,SCH0296,Singh Agro,Singh Group,Mustard Oil,Sarson Tel,17.3,2076.0,120.0,PENDING
MDM002143,2025-02-12,Wednesday,0,SCH0299,Kumar & Co.,Kumar Group,Rice,Rice,41.2,1648.0,40.0,PENDING
MDM006728,2025-02-12,Wednesday,0,SCH0354,S. Agro Works,Singh Group,Rice,chawal,27.1,1084.0,40.0,
MDM006456,2025-02-12,Wednesday,0,SCH0418,Kumar Supplies,Kumar Supplies Group,Wheat,Wheat,11.0,330.0,30.0,PENDING
MDM002647,2025-03-04,Tuesday,0,SCH0023,Goyal Rice Mill,Goyal Group,Pulses / Dal,Dal,42.8,3852.0,90.0,PENDING
MDM000109,2025-03-04,Tuesday,0,SCH0025,Sharma & Sons,Sharma Group,Rice,Rice,,500.0,,DUE
MDM008591,2025-03-04,Tuesday,0,SCH0091,Sharma & Sons,Sharma Group,Rice,RICE,57.4,2296.0,40.0,PAID
MDM011775,2025-03-04,Tuesday,0,SCH0113,Goyal Rice Mill,Goyal Group,Wheat,WHEAT,29.9,897.0,30.0,PENDING
