school_id,school_name,district,block,total_enrolled_students,school_type,medium
SCH0078,Govt. Senior Secondary School Bhavsar,Bathinda,Maur,224,Primary,Punjabi
SCH0079,Govt. Primary School Dash,Bathinda,Maur,366,Higher Secondary,Punjabi
SCH0080,Govt. Elementary School Roy,Sangrur,Dhuri,214,Primary,Punjabi
SCH0081,Govt. Middle School Batta,Ferozepur,Unassigned,77,Primary,Hindi
SCH0082,Govt. Elementary School Mistry,Amritsar,Tarn Taran,350,Upper Primary,Punjabi
SCH0083,Govt. Primary School Dutta,Bathinda,Talwandi Sabo,196,Primary,Hindi
SCH0084,Govt. Primary School Wali,Patiala,Samana,378,Upper Primary,Punjabi
SCH0085,Govt. Elementary School Bandi,Unassigned,Unassigned,189,Secondary,Hindi
SCH0086,Govt. Middle School Tata,Bathinda,Maur,257,Upper Primary,Punjabi
SCH0087,Govt. Elementary School Grewal,Ludhiana,Ludhiana-II,445,Secondary,Punjabi
SCH0088,Govt. Middle School Golla,Bathinda,Talwandi Sabo,264,Primary,Punjabi
SCH0089,Govt. Middle School Krishnamurthy,Amritsar,Amritsar-II,385,Primary,Hindi
SCH0090,Govt. Elementary School Pingle,Sangrur,Dhuri,182,Higher Secondary,Punjabi
SCH0091,Govt. Middle School Soman,Moga,Nihal Singh Wala,210,Primary,Punjabi
SCH0092,Govt. Middle School Bawa,Bathinda,Talwandi Sabo,429,Higher Secondary,Punjabi
SCH0093,Govt. Elementary School Bora,Ludhiana,Machhiwara,251,Secondary,Punjabi
SCH0094,Govt. Elementary School Pingle,Patiala,Samana,321,Secondary,Hindi
SCH0095,Govt. Primary School Kanda,Patiala,Nabha,199,Higher Secondary,Punjabi
SCH0096,Govt. Elementary School Walia,Jalandhar,Phillaur,406,Secondary,Hindi
SCH0097,Govt. Middle School Prakash,Sangrur,Sunam,236,Upper Primary,Punjabi
SCH0098,Govt. Elementary School Soman,Moga,Bagha Purana,41,Secondary,Punjabi
SCH0099,Govt. Middle School Korpal,Sangrur,Malerkotla,210,Higher Secondary,Hindi
SCH0100,Govt. Elementary School Sandal,Ferozepur,Zira,437,Secondary,Hindi
SCH0101,Govt. Elementary School Saxena,Sangrur,Unassigned,104,Secondary,Punjabi
SCH0102,Govt. Middle School Kakar,Ludhiana,Ludhiana-II,249,Upper Primary,Punjabi
SCH0103,Govt. Elementary School Parsa,Amritsar,Ajnala,385,Higher Secondary,Punjabi
SCH0104,Govt. Primary School Chacko,Amritsar,Amritsar-II,363,Secondary,Punjabi
SCH0105,Govt. Primary School Desai,Amritsar,Tarn Taran,125,Primary,English
SCH0106,Govt. Primary School Shanker,Ferozepur,Zira,165,Upper Primary,Punjabi
SCH0107,Govt. Elementary School Krishna,Patiala,Rajpura,338,Higher Secondary,Punjabi
SCH0108,Govt. Middle School Warrior,Sangrur,Malerkotla,386,Primary,English
SCH0109,Govt. Elementary School Pradhan,Ferozepur,Makhu,273,Upper Primary,Punjabi
SCH0110,Govt. Primary School Goswami,Moga,Bagha Purana,398,Higher Secondary,Punjabi
SCH0111,Govt. Middle School Butala,Bathinda,Maur,350,Upper Primary,Hindi
SCH0112,Govt. Senior Secondary School Bhagat,Amritsar,Unassigned,198,Primary,English
SCH0113,Govt. Middle School Subramaniam,Moga,Nihal Singh Wala,129,Secondary,English
SCH0114,Govt. Primary School Randhawa,Sangrur,Malerkotla,422,Primary,Hindi
SCH0115,Govt. Primary School Sachdev,Ferozepur,Makhu,86,Primary,English
SCH0116,Govt. Middle School Gandhi,Ferozepur,Makhu,95,Higher Secondary,Hindi
SCH0117,Govt. Primary School Reddy,Amritsar,Tarn Taran,398,Higher Secondary,English
SCH0118,Govt. Middle School Hari,Sangrur,Sangrur,89,Upper Primary,Hindi
SCH0119,Govt. Middle School Sur,Ferozepur,Unassigned,252,Higher Secondary,English
SCH0120,Govt. Middle School Sharaf,Patiala,Rajpura,267,Secondary,English
SCH0121,Govt. Elementary School Deshmukh,Ludhiana,Unassigned,181,Primary,Hindi
SCH0122,Govt. Senior Secondary School Ahluwalia,Ludhiana,Unassigned,442,Upper Primary,Hindi
SCH0123,Govt. Primary School Cheema,Patiala,Nabha,159,Upper Primary,Hindi
SCH0124,Govt. Middle School Goda,Jalandhar,Nakodar,448,Primary,Hindi
SCH0125,Govt. Primary School Srivastava,Moga,Moga-I,129,Upper Primary,Punjabi
SCH0126,Govt. Primary School Pillay,Sangrur,Malerkotla,302,Higher Secondary,Hindi
SCH0127,Govt. Elementary School Palla,Bathinda,Talwandi Sabo,369,Primary,Punjabi
SCH0128,Govt. Primary School Walla,Sangrur,Dhuri,77,Secondary,Hindi
SCH0129,Govt. Elementary School Malhotra,Moga,Unassigned,345,Higher Secondary,Punjabi
SCH0130,Govt. Elementary School Mall,Patiala,Rajpura,271,Higher Secondary,Punjabi
SCH0131,Govt. Elementary School Dani,Moga,Unassigned,200,Secondary,Punjabi
SCH0132,Govt. Primary School Rajagopal,Amritsar,Tarn Taran,89,Secondary,Hindi
SCH0133,Govt. Primary School Thakur,Moga,Moga-I,250,Higher Secondary,Hindi
SCH0134,Govt. Elementary School Suri,Bathinda,Rampura Phul,93,Upper Primary,Punjabi
SCH0135,Govt. Primary School Raghavan,Moga,Bagha Purana,98,Upper Primary,English
SCH0136,Govt. Middle School Banerjee,Ludhiana,Unassigned,179,Secondary,Hindi
SCH0137,Govt. Senior Secondary School Dani,Ferozepur,Ferozepur,112,Primary,Punjabi
SCH0138,Govt. Primary School Gandhi,Moga,Moga-II,229,Secondary,Hindi
SCH0139,Govt. Elementary School Lata,Jalandhar,Jalandhar-I,385,Higher Secondary,Punjabi
SCH0140,Govt. Middle School Garg,Bathinda,Maur,426,Secondary,Hindi
SCH0141,Govt. Middle School Sane,Sangrur,Malerkotla,63,Primary,Hindi
SCH0142,Govt. Senior Secondary School Badami,Bathinda,Rampura Phul,207,Higher Secondary,Hindi
SCH0143,Govt. Elementary School Venkataraman,Patiala,Samana,76,Primary,English
SCH0144,Govt. Primary School Bakshi,Ferozepur,Mamdot,403,Secondary,Hindi
SCH0145,Govt. Elementary School Kashyap,Sangrur,Malerkotla,85,Primary,Punjabi
SCH0146,Govt. Primary School Sundaram,Bathinda,Rampura Phul,153,Upper Primary,Hindi
SCH0147,Govt. Senior Secondary School Das,Moga,Bagha Purana,412,Upper Primary,Hindi
SCH0148,Govt. Elementary School Sastry,Jalandhar,Jalandhar-I,130,Higher Secondary,Hindi
SCH0149,Govt. Middle School Uppal,Moga,Bagha Purana,117,Higher Secondary,Hindi
SCH0150,Govt. Primary School Parikh,Ludhiana,Doraha,299,Higher Secondary,English
SCH0151,Govt. Primary School Dugar,Amritsar,Amritsar-I,354,Higher Secondary,Hindi
SCH0152,Govt. Elementary School Dass,Patiala,Samana,349,Upper Primary,English
SCH0153,Govt. Senior Secondary School Vohra,Amritsar,Amritsar-II,60,Higher Secondary,English
SCH0154,Govt. Middle School Chakraborty,Ferozepur,Unassigned,436,Primary,Punjabi
SCH0155,Govt. Senior Secondary School Chander,Ferozepur,Makhu,169,Upper Primary,English
SCH0156,Govt. Elementary School Barad,Ferozepur,Zira,344,Primary,English
SCH0157,Govt. Middle School Keer,Jalandhar,Jalandhar-I,370,Secondary,Hindi
SCH0158,Govt. Middle School Tella,Moga,Nihal Singh Wala,138,Upper Primary,Punjabi
SCH0159,Govt. Senior Secondary School Gade,Ludhiana,Doraha,432,Higher Secondary,Hindi
SCH0160,Govt. Middle School Munshi,Jalandhar,Phillaur,62,Upper Primary,Punjabi
SCH0161,Govt. Senior Secondary School Mand,Patiala,Nabha,198,Higher Secondary,Hindi
SCH0162,Govt. Elementary School Deshpande,Sangrur,Dhuri,433,Higher Secondary,Hindi
SCH0163,Govt. Primary School Ratta,Jalandhar,Nakodar,66,Secondary,Hindi
SCH0164,Govt. Senior Secondary School Barad,Amritsar,Ajnala,82,Secondary,Punjabi
SCH0165,Govt. Middle School Mallick,Patiala,Rajpura,218,Higher Secondary,Punjabi
SCH0166,Govt. Middle School Devi,Moga,Moga-II,54,Primary,Hindi
SCH0167,Govt. Elementary School Pall,Ludhiana,Doraha,281,Upper Primary,Punjabi
SCH0168,Govt. Elementary School Narayan,Amritsar,Amritsar-I,171,Upper Primary,English
SCH0169,Govt. Elementary School Walia,Unassigned,Unassigned,102,Higher Secondary,Punjabi
SCH0170,Govt. Middle School Mallick,Ludhiana,Ludhiana-II,407,Higher Secondary,Punjabi
SCH0171,Govt. Primary School Dasgupta,Jalandhar,Jalandhar-I,308,Primary,Punjabi
SCH0172,Govt. Primary School Konda,Ludhiana,Machhiwara,231,Primary,Punjabi
SCH0173,Govt. Senior Secondary School Johal,Moga,Moga-II,62,Secondary,Punjabi
SCH0174,Govt. Senior Secondary School Lanka,Sangrur,Unassigned,109,Higher Secondary,Hindi
SCH0175,Govt. Senior Secondary School Naik,Ludhiana,Doraha,198,Higher Secondary,Punjabi
SCH0176,Govt. Elementary School Barad,Moga,Bagha Purana,103,Higher Secondary,Punjabi
SCH0177,Govt. Middle School Manne,Moga,Moga-II,294,Secondary,Punjabi
SCH0178,Govt. Middle School Dyal,Amritsar,Tarn Taran,348,Upper Primary,English
SCH0179,Govt. Elementary School Raman,Bathinda,Rampura Phul,268,Higher Secondary,Punjabi
SCH0180,Govt. Elementary School Sha,Moga,Nihal Singh Wala,180,Primary,Hindi
SCH0181,Govt. Primary School Lala,Ludhiana,Ludhiana-II,351,Higher Secondary,English
SCH0182,Govt. Middle School Hari,Moga,Nihal Singh Wala,330,Upper Primary,Punjabi
SCH0183,Govt. Primary School Narain,Jalandhar,Unassigned,243,Secondary,Hindi
SCH0184,Govt. Senior Secondary School Hora,Sangrur,Dhuri,327,Secondary,English
SCH0185,Govt. Elementary School Tata,Sangrur,Sunam,102,Primary,English
SCH0186,Govt. Senior Secondary School Pillay,Moga,Moga-I,321,Secondary,Hindi
SCH0187,Govt. Primary School Chaudhari,Patiala,Patiala,142,Upper Primary,Hindi
SCH0188,Govt. Elementary School Vig,Moga,Nihal Singh Wala,322,Primary,Punjabi
SCH0189,Govt. Elementary School Mitter,Ferozepur,Mamdot,334,Secondary,Hindi
SCH0190,Govt. Senior Secondary School Chadha,Moga,Moga-II,439,Upper Primary,Punjabi
SCH0191,Govt. Senior Secondary School Bera,Amritsar,Amritsar-II,195,Secondary,Hindi
SCH0192,Govt. Middle School Varty,Bathinda,Bathinda,168,Secondary,Punjabi
SCH0193,Govt. Primary School Parmer,Jalandhar,Jalandhar-II,127,Secondary,Punjabi
SCH0194,Govt. Elementary School Suresh,Amritsar,Amritsar-I,368,Secondary,Punjabi
SCH0195,Govt. Elementary School Dhillon,Sangrur,Malerkotla,368,Higher Secondary,Punjabi
SCH0196,Govt. Senior Secondary School Kara,Ludhiana,Ludhiana-II,265,Higher Secondary,English
SCH0197,Govt. Elementary School Dada,Moga,Nihal Singh Wala,106,Primary,Punjabi
SCH0198,Govt. Elementary School Sachar,Patiala,Nabha,89,Higher Secondary,Hindi
SCH0199,Govt. Elementary School Nath,Moga,Bagha Purana,137,Higher Secondary,English
SCH0200,Govt. Senior Secondary School Anne,Sangrur,Sangrur,86,Higher Secondary,Punjabi
SCH0201,Govt. Primary School Sagar,Ludhiana,Doraha,293,Higher Secondary,Punjabi
SCH0202,Govt. Elementary School Karpe,Jalandhar,Unassigned,412,Higher Secondary,Hindi
SCH0203,Govt. Middle School Grewal,Patiala,Samana,323,Higher Secondary,Hindi
SCH0204,Govt. Middle School Singhal,Amritsar,Amritsar-II,89,Secondary,Hindi
SCH0205,Govt. Elementary School Chander,Ferozepur,Ferozepur,63,Secondary,Hindi
SCH0206,Govt. Middle School Menon,Jalandhar,Nakodar,353,Higher Secondary,Hindi
SCH0207,Govt. Primary School Kaul,Sangrur,Malerkotla,283,Secondary,Hindi
SCH0208,Govt. Elementary School Rattan,Bathinda,Bathinda,345,Upper Primary,Hindi
SCH0209,Govt. Elementary School Mane,Ferozepur,Zira,388,Primary,Hindi
SCH0210,Govt. Primary School Barman,Ferozepur,Zira,250,Higher Secondary,Hindi
SCH0211,Govt. Senior Secondary School Edwin,Patiala,Samana,379,Higher Secondary,Hindi
SCH0212,Govt. Senior Secondary School Sachar,Moga,Bagha Purana,386,Secondary,English
SCH0213,Govt. Elementary School Bhatt,Bathinda,Maur,192,Upper Primary,English
SCH0214,Govt. Elementary School Chahal,Bathinda,Rampura Phul,102,Higher Secondary,Hindi
SCH0215,Govt. Elementary School Saha,Bathinda,Bathinda,187,Primary,Punjabi
SCH0216,Govt. Senior Secondary School Oommen,Patiala,Nabha,315,Secondary,Hindi
SCH0217,Govt. Primary School Apte,Patiala,Nabha,66,Secondary,Hindi
SCH0218,Govt. Senior Secondary School Dugar,Ludhiana,Ludhiana-II,248,Higher Secondary,English
SCH0219,Govt. Senior Secondary School Oommen,Moga,Bagha Purana,370,Primary,Punjabi
SCH0220,Govt. Elementary School Mishra,Jalandhar,Phillaur,130,Primary,Hindi
SCH0221,Govt. Middle School Butala,Bathinda,Bathinda,44,Primary,Hindi
SCH0222,Govt. Middle School Edwin,Sangrur,Sunam,298,Upper Primary,Punjabi
SCH0223,Govt. Senior Secondary School Mallick,Bathinda,Maur,47,Secondary,Punjabi
SCH0224,Govt. Senior Secondary School Kunda,Ferozepur,Makhu,84,Primary,Hindi
SCH0225,Govt. Middle School Chaudhry,Ludhiana,Doraha,236,Secondary,Hindi
SCH0226,Govt. Primary School Upadhyay,Ludhiana,Doraha,374,Upper Primary,Hindi
SCH0227,Govt. Senior Secondary School Samra,Ferozepur,Makhu,393,Secondary,Hindi
SCH0228,Govt. Elementary School Sankar,Sangrur,Sunam,272,Secondary,Hindi
SCH0229,Govt. Primary School Balay,Patiala,Unassigned,309,Secondary,Hindi
SCH0230,Govt. Senior Secondary School Badal,Patiala,Nabha,124,Higher Secondary,Punjabi
SCH0231,Govt. Primary School Datta,Amritsar,Tarn Taran,68,Higher Secondary,English
SCH0232,Govt. Primary School Choudhary,Ludhiana,Machhiwara,170,Upper Primary,Punjabi
SCH0233,Govt. Senior Secondary School Mutti,Ludhiana,Ludhiana-I,281,Higher Secondary,Punjabi
SCH0234,Govt. Senior Secondary School Tak,Moga,Nihal Singh Wala,269,Higher Secondary,English
SCH0235,Govt. Senior Secondary School Balan,Amritsar,Amritsar-II,315,Upper Primary,Punjabi
SCH0236,Govt. Senior Secondary School Palan,Bathinda,Talwandi Sabo,384,Higher Secondary,English
SCH0237,Govt. Elementary School Sood,Jalandhar,Nakodar,136,Primary,Punjabi
SCH0238,Govt. Primary School Amble,Patiala,Nabha,74,Primary,Punjabi
SCH0239,Govt. Middle School Butala,Ferozepur,Mamdot,159,Primary,Hindi
SCH0240,Govt. Senior Secondary School Mitter,Moga,Bagha Purana,161,Upper Primary,English
SCH0241,Govt. Middle School Dass,Ludhiana,Ludhiana-II,360,Higher Secondary,Punjabi
SCH0242,Govt. Elementary School Bhardwaj,Moga,Nihal Singh Wala,249,Higher Secondary,Hindi
SCH0243,Govt. Senior Secondary School Deep,Bathinda,Maur,277,Higher Secondary,English
SCH0244,Govt. Primary School Swamy,Patiala,Samana,371,Higher Secondary,Hindi
SCH0245,Govt. Senior Secondary School Sarkar,Ludhiana,Doraha,233,Primary,Hindi
SCH0246,Govt. Primary School Chaudhari,Patiala,Rajpura,146,Secondary,Hindi
SCH0247,Govt. Senior Secondary School Barad,Amritsar,Tarn Taran,164,Upper Primary,English
SCH0248,Govt. Elementary School Grover,Ferozepur,Mamdot,313,Secondary,Punjabi
SCH0249,Govt. Senior Secondary School Toor,Moga,Moga-II,229,Primary,Punjabi
SCH0250,Govt. Senior Secondary School Lad,Bathinda,Talwandi Sabo,191,Secondary,English
SCH0251,Govt. Middle School Choudhry,Bathinda,Talwandi Sabo,410,Higher Secondary,Hindi
SCH0252,Govt. Primary School Krish,Sangrur,Sunam,317,Primary,Punjabi
SCH0253,Govt. Senior Secondary School Saha,Ludhiana,Unassigned,110,Upper Primary,Hindi
SCH0254,Govt. Primary School Kapadia,Sangrur,Unassigned,70,Higher Secondary,Hindi
SCH0255,Govt. Middle School Barman,Ferozepur,Unassigned,48,Secondary,Punjabi
SCH0256,Govt. Middle School Chaudhry,Jalandhar,Jalandhar-I,89,Upper Primary,English
SCH0257,Govt. Senior Secondary School Rai,Ferozepur,Ferozepur,231,Higher Secondary,Punjabi
SCH0258,Govt. Primary School Kalita,Ludhiana,Ludhiana-I,247,Higher Secondary,Punjabi
SCH0259,Govt. Primary School Munshi,Sangrur,Dhuri,370,Primary,Hindi
SCH0260,Govt. Primary School Deol,Sangrur,Malerkotla,63,Secondary,English
SCH0261,Govt. Middle School Sen,Ludhiana,Ludhiana-II,340,Higher Secondary,Hindi
SCH0262,Govt. Primary School Mital,Ferozepur,Makhu,236,Upper Primary,English
SCH0263,Govt. Elementary School Oak,Ludhiana,Ludhiana-I,263,Primary,English
SCH0264,Govt. Elementary School Ghosh,Ludhiana,Doraha,441,Higher Secondary,Hindi
SCH0265,Govt. Primary School Bhat,Ferozepur,Ferozepur,435,Upper Primary,Punjabi
SCH0266,Govt. Middle School Hora,Jalandhar,Phillaur,202,Primary,English
SCH0267,Govt. Elementary School Basak,Amritsar,Amritsar-II,84,Higher Secondary,Punjabi
SCH0268,Govt. Primary School Amble,Moga,Moga-I,345,Secondary,Punjabi
SCH0269,Govt. Middle School Narayanan,Amritsar,Amritsar-II,332,Higher Secondary,Punjabi
SCH0270,Govt. Primary School Nadkarni,Jalandhar,Jalandhar-I,125,Higher Secondary,Hindi
SCH0271,Govt. Elementary School Mohan,Sangrur,Sunam,274,Secondary,Hindi
SCH0272,Govt. Senior Secondary School Sarin,Ferozepur,Makhu,265,Upper Primary,Hindi
SCH0273,Govt. Senior Secondary School Parikh,Ferozepur,Makhu,189,Higher Secondary,English
SCH0274,Govt. Senior Secondary School Raval,Ferozepur,Makhu,98,Upper Primary,Hindi
SCH0275,Govt. Primary School Chandran,Ludhiana,Machhiwara,402,Secondary,Punjabi
SCH0276,Govt. Elementary School Naik,Sangrur,Sunam,364,Secondary,Punjabi
SCH0277,Govt. Middle School Nagi,Sangrur,Dhuri,338,Higher Secondary,Hindi
SCH0278,Govt. Primary School Kamdar,Amritsar,Amritsar-I,433,Secondary,Punjabi
SCH0279,Govt. Senior Secondary School Narayan,Moga,Nihal Singh Wala,94,Secondary,Punjabi
SCH0280,Govt. Elementary School Modi,Sangrur,Sunam,216,Higher Secondary,Punjabi
SCH0281,Govt. Elementary School Agarwal,Amritsar,Amritsar-II,218,Higher Secondary,Punjabi
SCH0282,Govt. Primary School Palan,Sangrur,Unassigned,203,Primary,English
SCH0283,Govt. Middle School Reddy,Amritsar,Amritsar-II,419,Upper Primary,Punjabi
SCH0284,Govt. Senior Secondary School Prakash,Patiala,Rajpura,362,Higher Secondary,Punjabi
SCH0285,Govt. Primary School Chaudhry,Ferozepur,Ferozepur,400,Secondary,Hindi
SCH0286,Govt. Elementary School Badal,Jalandhar,Nakodar,206,Primary,English
SCH0287,Govt. Senior Secondary School Bhavsar,Ferozepur,Mamdot,340,Secondary,English
SCH0288,Govt. Middle School Goyal,Amritsar,Amritsar-II,200,Secondary,Hindi
SCH0289,Govt. Elementary School Mohanty,Ferozepur,Mamdot,345,Higher Secondary,Hindi
SCH0290,Govt. Primary School Mander,Jalandhar,Phillaur,187,Secondary,Punjabi
SCH0291,Govt. Elementary School Seth,Sangrur,Sunam,139,Higher Secondary,Punjabi
SCH0292,Govt. Middle School Deo,Sangrur,Sunam,82,Upper Primary,English
SCH0293,Govt. Primary School Wadhwa,Jalandhar,Phillaur,329,Higher Secondary,English
SCH0294,Govt. Primary School Arora,Moga,Moga-I,429,Upper Primary,Hindi
SCH0295,Govt. Primary School Sule,Bathinda,Bathinda,270,Primary,Hindi
SCH0296,Govt. Senior Secondary School Dash,Patiala,Samana,403,Higher Secondary,Hindi
SCH0297,Govt. Middle School Narayanan,Ludhiana,Doraha,312,Upper Primary,English
SCH0298,Govt. Senior Secondary School Sibal,Amritsar,Amritsar-II,424,Primary,Hindi
SCH0299,Govt. Elementary School Sane,Patiala,Nabha,404,Upper Primary,Hindi
SCH0300,Govt. Middle School Chaudhary,Bathinda,Talwandi Sabo,232,Primary,English
SCH0301,Govt. Elementary School Loke,Sangrur,Dhuri,207,Primary,English
SCH0302,Govt. Middle School Sama,Amritsar,Tarn Taran,151,Upper Primary,English
SCH0303,Govt. Elementary School Bava,Jalandhar,Unassigned,443,Primary,Hindi
SCH0304,Govt. Senior Secondary School Dubey,Sangrur,Dhuri,40,Higher Secondary,English
SCH0305,Govt. Senior Secondary School Mane,Jalandhar,Unassigned,87,Secondary,English
SCH0306,Govt. Elementary School Bhardwaj,Patiala,Unassigned,375,Primary,Hindi
