record_id,attendance_date,day_of_week,school_id,grade,total_students,present_students,attendance_rate_raw,attendance_rate_capped,teacher_present,marked_by,is_sunday,is_proxy_attendance,is_attendance_overflow,quality_status
ATT0018126,2025-01-05,Sunday,SCH0075,5,197,151,0.7665,0.7665,1.0,Admin,1,0,0,SUSPICIOUS_SUNDAY
ATT0011299,2025-01-05,Sunday,SCH0182,3,107,74,0.6916,0.6916,0.0,Class Teacher,1,0,0,SUSPICIOUS_SUNDAY
ATT0013864,2025-01-05,Sunday,SCH0230,8,194,151,0.7784,0.7784,1.0,Admin,1,0,0,SUSPICIOUS_SUNDAY
ATT0001620,2025-01-05,Sunday,SCH0340,1,64,43,0.6719,0.6719,1.0,Clerk,1,0,0,SUSPICIOUS_SUNDAY
ATT0009769,2025-01-05,Sunday,SCH0363,7,211,155,0.7346,0.7346,1.0,Class Teacher,1,0,0,SUSPICIOUS_SUNDAY
ATT0014126,2025-01-05,Sunday,SCH0482,3,222,151,0.6802,0.6802,0.0,Headmaster,1,0,0,SUSPICIOUS_SUNDAY
ATT0018097,2025-01-05,Sunday,SCH0491,7,114,101,0.886,0.886,1.0,Headmaster,1,0,0,SUSPICIOUS_SUNDAY
ATT0016712,2025-01-05,Sunday,SCH0527,4,253,208,0.8221,0.8221,1.0,Class Teacher,1,0,0,SUSPICIOUS_SUNDAY
ATT0012467,2025-01-05,Sunday,SCH0530,2,214,193,0.9019,0.9019,1.0,Admin,1,0,0,SUSPICIOUS_SUNDAY
ATT0019364,2025-01-05,Sunday,SCH0582,3,170,129,0.7588,0.7588,1.0,Clerk,1,0,0,SUSPICIOUS_SUNDAY
ATT0003437,2025-01-05,Sunday,SCH0582,6,240,222,0.925,0.925,1.0,Headmaster,1,0,0,SUSPICIOUS_SUNDAY
ATT0015881,2025-01-05,Sunday,SCH0583,6,127,105,0.8268,0.8268,1.0,Clerk,1,0,0,SUSPICIOUS_SUNDAY
ATT0011496,2025-01-05,Sunday,SCH0594,5,249,189,0.759,0.759,1.0,Clerk,1,0,0,SUSPICIOUS_SUNDAY
ATT0003934,2025-01-06,Monday,SCH0031,10,88,88,1.0,1.0,1.0,Admin,0,0,0,VALID
ATT0009759,2025-01-06,Monday,SCH0057,9,150,135,0.9,0.9,1.0,Headmaster,0,0,0,VALID
ATT0004889,2025-01-06,Monday,SCH0116,3,118,79,0.6695,0.6695,1.0,Class Teacher,0,0,0,VALID
ATT0019906,2025-01-06,Monday,SCH0124,5,107,127,1.1869,1.0,1.0,Headmaster,0,0,1,INVALID_OVERFLOW
ATT0018360,2025-01-06,Monday,SCH0125,3,195,133,0.6821,0.6821,1.0,,0,0,0,VALID
ATT0014832,2025-01-06,Monday,SCH0257,3,147,100,0.6803,0.6803,1.0,,0,0,0,VALID
ATT0019400,2025-01-06,Monday,SCH0285,2,127,103,0.811,0.811,1.0,Class Teacher,0,0,0,VALID
ATT0009998,2025-01-06,Monday,SCH0287,3,288,288,1.0,1.0,1.0,Class Teacher,0,0,0,VALID
ATT0011216,2025-01-06,Monday,SCH0318,9,141,141,1.0,1.0,1.0,Headmaster,0,0,0,VALID
ATT0013049,2025-01-06,Monday,SCH0349,4,98,98,1.0,1.0,1.0,Clerk,0,0,0,VALID
ATT0007968,2025-01-06,Monday,SCH0368,5,295,243,0.8237,0.8237,1.0,Class Teacher,0,0,0,VALID
ATT0010521,2025-01-06,Monday,SCH0438,3,239,239,1.0,1.0,1.0,Admin,0,0,0,VALID
ATT_GEN_000236,2025-01-06,Monday,SCH0463,9,276,276,1.0,1.0,1.0,,0,0,0,VALID
ATT0009219,2025-01-06,Monday,SCH0474,10,282,282,1.0,1.0,1.0,Headmaster,0,0,0,VALID
ATT0004949,2025-01-06,Monday,SCH0491,7,121,121,1.0,1.0,,Headmaster,0,0,0,VALID
ATT0012358,2025-01-06,Monday,SCH0538,2,134,134,1.0,1.0,1.0,Class Teacher,0,0,0,VALID
ATT0013444,2025-01-06,Monday,SCH0555,4,95,60,0.6316,0.6316,1.0,,0,0,0,VALID
ATT0004717,2025-01-06,Monday,SCH0569,2,267,223,0.8352,0.8352,1.0,Clerk,0,0,0,VALID
ATT0000859,2025-01-07,Tuesday,SCH0006,1,209,183,0.8756,0.8756,1.0,Headmaster,0,0,0,VALID
ATT0017513,2025-01-07,Tuesday,SCH0020,1,177,132,0.7458,0.7458,0.0,Headmaster,0,0,0,VALID
ATT0014473,2025-01-07,Tuesday,SCH0030,1,285,195,0.6842,0.6842,1.0,Clerk,0,0,0,VALID
ATT0011332,2025-01-07,Tuesday,SCH0064,3,300,308,1.0267,1.0,1.0,Admin,0,0,1,INVALID_OVERFLOW
ATT0003707,2025-01-07,Tuesday,SCH0065,1,290,235,0.8103,0.8103,1.0,,0,0,0,VALID
ATT0009247,2025-01-07,Tuesday,SCH0077,3,274,250,0.9124,0.9124,1.0,Headmaster,0,0,0,VALID
ATT0010946,2025-01-07,Tuesday,SCH0151,1,186,148,0.7957,0.7957,1.0,Admin,0,0,0,VALID
ATT0004360,2025-01-07,Tuesday,SCH0260,5,106,88,0.8302,0.8302,0.0,,0,0,0,VALID
ATT0006660,2025-01-07,Tuesday,SCH0317,2,132,97,0.7348,0.7348,1.0,Clerk,0,0,0,VALID
ATT0010291,2025-01-07,Tuesday,SCH0344,3,241,229,0.9502,0.9502,1.0,,0,0,0,VALID
ATT0002204,2025-01-07,Tuesday,SCH0361,4,137,117,0.854,0.854,1.0,Headmaster,0,0,0,VALID
ATT0001725,2025-01-07,Tuesday,SCH0400,4,133,115,0.8647,0.8647,1.0,,0,0,0,VALID
ATT0015119,2025-01-07,Tuesday,SCH0450,4,89,83,0.9326,0.9326,0.0,Headmaster,0,0,0,VALID
ATT0017035,2025-01-07,Tuesday,SCH0460,9,293,261,0.8908,0.8908,1.0,Clerk,0,0,0,VALID
ATT0010304,2025-01-07,Tuesday,SCH0557,1,206,151,0.733,0.733,1.0,Admin,0,0,0,VALID
ATT0003448,2025-01-08,Wednesday,SCH0015,4,209,197,0.9426,0.9426,1.0,Clerk,0,0,0,VALID
ATT0015442,2025-01-08,Wednesday,SCH0015,2,224,157,0.7009,0.7009,1.0,Headmaster,0,0,0,VALID
ATT0007286,2025-01-08,Wednesday,SCH0075,10,191,158,0.8272,0.8272,1.0,Clerk,0,0,0,VALID
ATT0002569,2025-01-08,Wednesday,SCH0083,3,71,55,0.7746,0.7746,1.0,,0,0,0,VALID
ATT0019455,2025-01-08,Wednesday,SCH0125,1,59,76,1.2881,1.0,1.0,Clerk,0,0,1,INVALID_OVERFLOW
ATT0004363,2025-01-08,Wednesday,SCH0167,2,47,40,0.8511,0.8511,1.0,Class Teacher,0,0,0,VALID
ATT0019447,2025-01-08,Wednesday,SCH0185,7,177,119,0.6723,0.6723,1.0,Admin,0,0,0,VALID
ATT0003358,2025-01-08,Wednesday,SCH0185,4,71,53,0.7465,0.7465,,Headmaster,0,0,0,VALID
ATT0015321,2025-01-08,Wednesday,SCH0211,7,114,86,0.7544,0.7544,0.0,,0,0,0,VALID
ATT0010762,2025-01-08,Wednesday,SCH0216,4,214,170,0.7944,0.7944,,Clerk,0,0,0,VALID
ATT0009128,2025-01-08,Wednesday,SCH0283,5,86,83,0.9651,0.9651,1.0,,0,0,0,VALID
ATT0011687,2025-01-08,Wednesday,SCH0295,9,284,243,0.8556,0.8556,1.0,Headmaster,0,0,0,VALID
ATT0010850,2025-01-08,Wednesday,SCH0305,9,64,51,0.7969,0.7969,1.0,Admin,0,0,0,VALID
ATT0009690,2025-01-08,Wednesday,SCH0309,4,257,197,0.7665,0.7665,1.0,Admin,0,0,0,VALID
ATT0000701,2025-01-08,Wednesday,SCH0312,3,52,32,0.6154,0.6154,1.0,Headmaster,0,0,0,VALID
ATT0002735,2025-01-08,Wednesday,SCH0338,5,56,53,0.9464,0.9464,1.0,,0,0,0,VALID
ATT0003641,2025-01-08,Wednesday,SCH0357,2,97,80,0.8247,0.8247,1.0,Headmaster,0,0,0,VALID
ATT0014808,2025-01-08,Wednesday,SCH0383,2,229,198,0.8646,0.8646,1.0,Class Teacher,0,0,0,VALID
ATT0009772,2025-01-08,Wednesday,SCH0424,5,79,72,0.9114,0.9114,1.0,Admin,0,0,0,VALID
ATT0008124,2025-01-08,Wednesday,SCH0432,5,159,142,0.8931,0.8931,1.0,Headmaster,0,0,0,VALID
ATT0016420,2025-01-08,Wednesday,SCH0465,2,299,207,0.6923,0.6923,0.0,,0,0,0,VALID
ATT0009983,2025-01-08,Wednesday,SCH0466,10,149,102,0.6846,0.6846,1.0,Clerk,0,0,0,VALID
ATT0001268,2025-01-08,Wednesday,SCH0542,1,42,25,0.5952,0.5952,1.0,Headmaster,0,0,0,VALID
ATT0007300,2025-01-08,Wednesday,SCH0555,2,256,188,0.7344,0.7344,1.0,Class Teacher,0,0,0,VALID
ATT0013508,2025-01-08,Wednesday,SCH0558,3,122,75,0.6148,0.6148,1.0,Headmaster,0,0,0,VALID
ATT0005948,2025-01-08,Wednesday,SCH0576,5,130,125,0.9615,0.9615,1.0,,0,0,0,VALID
ATT0016615,2025-01-09,Thursday,SCH0040,1,49,49,1.0,1.0,1.0,Admin,0,0,0,VALID
ATT0012523,2025-01-09,Thursday,SCH0084,3,273,258,0.9451,0.9451,,Headmaster,0,0,0,VALID
ATT0016889,2025-01-09,Thursday,SCH0109,4,299,228,0.7625,0.7625,1.0,Headmaster,0,0,0,VALID
ATT0009587,2025-01-09,Thursday,SCH0120,5,195,195,1.0,1.0,1.0,,0,0,0,VALID
ATT0004308,2025-01-09,Thursday,SCH0129,3,71,71,1.0,1.0,1.0,Headmaster,0,0,0,VALID
ATT0013307,2025-01-09,Thursday,SCH0130,5,150,118,0.7867,0.7867,1.0,Class Teacher,0,0,0,VALID
ATT0009480,2025-01-09,Thursday,SCH0147,5,174,121,0.6954,0.6954,1.0,,0,0,0,VALID
ATT0017400,2025-01-09,Thursday,SCH0172,3,82,54,0.6585,0.6585,1.0,Headmaster,0,0,0,VALID
ATT0000985,2025-01-09,Thursday,SCH0177,3,149,95,0.6376,0.6376,0.0,Class Teacher,0,0,0,VALID
ATT0018793,2025-01-09,Thursday,SCH0197,3,258,258,1.0,1.0,1.0,,0,0,0,VALID
ATT0008989,2025-01-09,Thursday,SCH0212,6,83,65,0.7831,0.7831,,Class Teacher,0,0,0,VALID
ATT0005835,2025-01-09,Thursday,SCH0236,5,273,217,0.7949,0.7949,1.0,Admin,0,0,0,VALID
ATT0005685,2025-01-09,Thursday,SCH0240,2,236,143,0.6059,0.6059,1.0,Clerk,0,0,0,VALID
ATT0012983,2025-01-09,Thursday,SCH0319,2,85,85,1.0,1.0,1.0,Headmaster,0,0,0,VALID
ATT0007723,2025-01-09,Thursday,SCH0324,4,237,237,1.0,1.0,1.0,Headmaster,0,0,0,VALID
ATT0018877,2025-01-09,Thursday,SCH0341,3,275,275,1.0,1.0,1.0,Class Teacher,0,0,0,VALID
ATT0004922,2025-01-09,Thursday,SCH0349,7,168,112,0.6667,0.6667,1.0,Admin,0,0,0,VALID
ATT0013815,2025-01-09,Thursday,SCH0361,4,148,148,1.0,1.0,1.0,Headmaster,0,0,0,VALID
ATT0015512,2025-01-09,Thursday,SCH0367,2,65,65,1.0,1.0,1.0,,0,0,0,VALID
ATT0000578,2025-01-09,Thursday,SCH0373,3,142,108,0.7606,0.7606,1.0,Headmaster,0,0,0,VALID
ATT0007270,2025-01-09,Thursday,SCH0401,7,122,75,0.6148,0.6148,1.0,Admin,0,0,0,VALID
ATT0004958,2025-01-09,Thursday,SCH0408,8,164,135,0.8232,0.8232,1.0,Clerk,0,0,0,VALID
ATT0017359,2025-01-09,Thursday,SCH0460,1,228,204,0.8947,0.8947,1.0,Clerk,0,0,0,VALID
ATT0007363,2025-01-09,Thursday,SCH0474,1,222,159,0.7162,0.7162,1.0,Headmaster,0,0,0,VALID
ATT0009554,2025-01-09,Thursday,SCH0509,1,249,216,0.8675,0.8675,0.0,Headmaster,0,0,0,VALID
ATT0003853,2025-01-09,Thursday,SCH0516,4,92,92,1.0,1.0,1.0,Headmaster,0,0,0,VALID
ATT0006906,2025-01-09,Thursday,SCH0537,6,272,272,1.0,1.0,1.0,Headmaster,0,0,0,VALID
ATT0000215,2025-01-10,Friday,SCH0040,5,98,64,0.6531,0.6531,1.0,Class Teacher,0,0,0,VALID
ATT0012208,2025-01-10,Friday,SCH0083,2,231,224,0.9697,0.9697,1.0,Headmaster,0,0,0,VALID
ATT0004779,2025-01-10,Friday,SCH0143,1,156,121,0.7756,0.7756,0.0,Headmaster,0,0,0,VALID
ATT0018354,2025-01-10,Friday,SCH0204,1,206,162,0.7864,0.7864,1.0,Class Teacher,0,0,0,VALID
ATT0019008,2025-01-10,Friday,SCH0265,4,201,168,0.8358,0.8358,1.0,Class Teacher,0,0,0,VALID
ATT0017585,2025-01-10,Friday,SCH0370,2,248,208,0.8387,0.8387,1.0,Clerk,0,0,0,VALID
ATT0000723,2025-01-10,Friday,SCH0387,10,45,38,0.8444,0.8444,1.0,Headmaster,0,0,0,VALID
ATT0010194,2025-01-10,Friday,SCH0434,9,77,67,0.8701,0.8701,0.0,Headmaster,0,0,0,VALID
ATT0013063,2025-01-10,Friday,SCH0443,2,225,190,0.8444,0.8444,1.0,Admin,0,0,0,VALID
ATT0013158,2025-01-10,Friday,SCH0451,1,244,169,0.6926,0.6926,0.0,Class Teacher,0,0,0,VALID
ATT0001641,2025-01-10,Friday,SCH0503,5,85,70,0.8235,0.8235,,,0,0,0,VALID
ATT0001588,2025-01-10,Friday,SCH0554,3,153,141,0.9216,0.9216,1.0,Headmaster,0,0,0,VALID
ATT0003478,2025-01-10,Friday,SCH0582,4,131,118,0.9008,0.9008,1.0,Headmaster,0,0,0,VALID
ATT0018155,2025-01-11,Saturday,SCH0030,2,174,122,0.7011,0.7011,1.0,,0,0,0,VALID
ATT0001333,2025-01-11,Saturday,SCH0086,5,242,204,0.843,0.843,1.0,Headmaster,0,0,0,VALID
ATT0006019,2025-01-11,Saturday,SCH0180,1,218,140,0.6422,0.6422,0.0,,0,0,0,VALID
ATT0017232,2025-01-11,Saturday,SCH0220,10,181,150,0.8287,0.8287,1.0,Headmaster,0,0,0,VALID
ATT0018302,2025-01-11,Saturday,SCH0234,7,61,66,1.082,1.0,1.0,Class Teacher,0,0,1,INVALID_OVERFLOW
ATT0013407,2025-01-11,Saturday,SCH0253,4,244,160,0.6557,0.6557,1.0,Clerk,0,0,0,VALID
ATT_GEN_000323,2025-01-11,Saturday,SCH0294,2,69,51,0.7391,0.7391,0.0,Admin,0,0,0,VALID
ATT0019966,2025-01-11,Saturday,SCH0310,10,252,203,0.8056,0.8056,1.0,Admin,0,0,0,VALID
ATT0017247,2025-01-11,Saturday,SCH0332,5,133,103,0.7744,0.7744,1.0,Clerk,0,0,0,VALID
ATT0018964,2025-01-11,Saturday,SCH0367,5,257,167,0.6498,0.6498,1.0,,0,0,0,VALID
ATT0016729,2025-01-11,Saturday,SCH0429,5,47,33,0.7021,0.7021,1.0,Headmaster,0,0,0,VALID
ATT0014348,2025-01-11,Saturday,SCH0439,6,178,150,0.8427,0.8427,1.0,Admin,0,0,0,VALID
ATT0000481,2025-01-11,Saturday,SCH0441,5,206,142,0.6893,0.6893,1.0,Admin,0,0,0,VALID
ATT0003911,2025-01-11,Saturday,SCH0521,9,286,238,0.8322,0.8322,1.0,Admin,0,0,0,VALID
ATT0008151,2025-01-11,Saturday,SCH0536,1,300,276,0.92,0.92,1.0,Headmaster,0,0,0,VALID
ATT0019064,2025-01-11,Saturday,SCH0551,4,193,163,0.8446,0.8446,1.0,Clerk,0,0,0,VALID
ATT0019257,2025-01-11,Saturday,SCH0553,4,216,165,0.7639,0.7639,1.0,Clerk,0,0,0,VALID
ATT0019990,2025-01-12,Sunday,SCH0142,1,164,136,0.8293,0.8293,1.0,Headmaster,1,0,0,SUSPICIOUS_SUNDAY
ATT0010700,2025-01-12,Sunday,SCH0183,3,279,189,0.6774,0.6774,0.0,Class Teacher,1,0,0,SUSPICIOUS_SUNDAY
ATT0017294,2025-01-12,Sunday,SCH0188,5,122,76,0.623,0.623,1.0,Headmaster,1,0,0,SUSPICIOUS_SUNDAY
ATT0009082,2025-01-12,Sunday,SCH0255,3,72,43,0.5972,0.5972,1.0,Headmaster,1,0,0,SUSPICIOUS_SUNDAY
ATT0003117,2025-01-12,Sunday,SCH0268,3,181,162,0.895,0.895,1.0,Class Teacher,1,0,0,SUSPICIOUS_SUNDAY
ATT0009180,2025-01-12,Sunday,SCH0275,1,100,90,0.9,0.9,1.0,Headmaster,1,0,0,SUSPICIOUS_SUNDAY
ATT0002351,2025-01-12,Sunday,SCH0325,8,158,108,0.6835,0.6835,1.0,Clerk,1,0,0,SUSPICIOUS_SUNDAY
ATT0009061,2025-01-12,Sunday,SCH0333,4,171,118,0.6901,0.6901,1.0,,1,0,0,SUSPICIOUS_SUNDAY
ATT0019859,2025-01-12,Sunday,SCH0335,3,118,106,0.8983,0.8983,1.0,Headmaster,1,0,0,SUSPICIOUS_SUNDAY
ATT0011067,2025-01-12,Sunday,SCH0374,10,76,48,0.6316,0.6316,0.0,Clerk,1,0,0,SUSPICIOUS_SUNDAY
ATT0009652,2025-01-12,Sunday,SCH0379,6,178,185,1.0393,1.0,1.0,Headmaster,1,0,1,INVALID_OVERFLOW
ATT0009622,2025-01-12,Sunday,SCH0457,2,165,155,0.9394,0.9394,1.0,,1,0,0,SUSPICIOUS_SUNDAY
ATT0002378,2025-01-12,Sunday,SCH0471,3,164,160,0.9756,0.9756,1.0,Class Teacher,1,0,0,SUSPICIOUS_SUNDAY
ATT0009396,2025-01-12,Sunday,SCH0495,3,148,97,0.6554,0.6554,1.0,,1,0,0,SUSPICIOUS_SUNDAY
ATT0019719,2025-01-12,Sunday,SCH0542,1,161,135,0.8385,0.8385,0.0,Admin,1,0,0,SUSPICIOUS_SUNDAY
ATT0006053,2025-02-04,Tuesday,SCH0024,3,198,158,0.798,0.798,1.0,Clerk,0,0,0,VALID
ATT0002575,2025-02-04,Tuesday,SCH0084,5,137,86,0.6277,0.6277,1.0,Headmaster,0,0,0,VALID
ATT0002917,2025-02-04,Tuesday,SCH0088,7,226,166,0.7345,0.7345,1.0,Clerk,0,0,0,VALID
ATT0001823,2025-02-04,Tuesday,SCH0107,4,176,156,0.8864,0.8864,0.0,Clerk,0,0,0,VALID
ATT0019354,2025-02-04,Tuesday,SCH0111,2,193,139,0.7202,0.7202,1.0,Admin,0,0,0,VALID
ATT0004548,2025-02-04,Tuesday,SCH0162,1,293,278,0.9488,0.9488,1.0,,0,0,0,VALID
ATT0013211,2025-02-04,Tuesday,SCH0201,9,62,46,0.7419,0.7419,1.0,Admin,0,0,0,VALID
ATT0000693,2025-02-04,Tuesday,SCH0208,4,222,202,0.9099,0.9099,1.0,,0,0,0,VALID
ATT0016096,2025-02-04,Tuesday,SCH0223,5,69,54,0.7826,0.7826,0.0,Admin,0,0,0,VALID
ATT0018449,2025-02-04,Tuesday,SCH0240,1,213,233,1.0939,1.0,1.0,Headmaster,0,0,1,INVALID_OVERFLOW
ATT0014639,2025-02-04,Tuesday,SCH0279,1,272,187,0.6875,0.6875,1.0,Clerk,0,0,0,VALID
ATT0011164,2025-02-04,Tuesday,SCH0299,3,189,143,0.7566,0.7566,1.0,Class Teacher,0,0,0,VALID
ATT0006938,2025-02-04,Tuesday,SCH0305,3,242,218,0.9008,0.9008,1.0,Headmaster,0,0,0,VALID
ATT0019195,2025-02-04,Tuesday,SCH0337,3,106,65,0.6132,0.6132,1.0,,0,0,0,VALID
ATT0019478,2025-02-04,Tuesday,SCH0378,8,109,101,0.9266,0.9266,1.0,Headmaster,0,0,0,VALID
ATT0007248,2025-02-04,Tuesday,SCH0378,4,132,90,0.6818,0.6818,1.0,Admin,0,0,0,VALID
ATT0018428,2025-02-04,Tuesday,SCH0407,5,154,145,0.9416,0.9416,1.0,Headmaster,0,0,0,VALID
ATT0014389,2025-02-04,Tuesday,SCH0409,5,213,193,0.9061,0.9061,1.0,Headmaster,0,0,0,VALID
ATT0016063,2025-02-04,Tuesday,SCH0413,7,269,250,0.9294,0.9294,0.0,Headmaster,0,0,0,VALID
ATT0015006,2025-02-04,Tuesday,SCH0414,4,48,34,0.7083,0.7083,1.0,Headmaster,0,0,0,VALID
ATT0017172,2025-02-04,Tuesday,SCH0438,5,130,95,0.7308,0.7308,0.0,Headmaster,0,0,0,VALID
ATT0006482,2025-02-04,Tuesday,SCH0440,2,163,138,0.8466,0.8466,1.0,,0,0,0,VALID
ATT0011725,2025-02-04,Tuesday,SCH0445,4,284,238,0.838,0.838,1.0,Clerk,0,0,0,VALID
ATT0011102,2025-02-04,Tuesday,SCH0446,3,263,230,0.8745,0.8745,0.0,Class Teacher,0,0,0,VALID
ATT0013514,2025-02-04,Tuesday,SCH0448,1,73,70,0.9589,0.9589,1.0,Headmaster,0,0,0,VALID
ATT0003195,2025-02-04,Tuesday,SCH0529,4,55,38,0.6909,0.6909,1.0,Headmaster,0,0,0,VALID
ATT0016465,2025-02-04,Tuesday,SCH0542,3,102,90,0.8824,0.8824,1.0,Clerk,0,0,0,VALID
ATT0017117,2025-02-04,Tuesday,SCH0578,6,198,136,0.6869,0.6869,1.0,Headmaster,0,0,0,VALID
ATT0005962,2025-02-05,Wednesday,SCH0044,4,53,66,1.2453,1.0,1.0,Clerk,0,0,1,INVALID_OVERFLOW
ATT0016256,2025-02-05,Wednesday,SCH0078,7,70,63,0.9,0.9,1.0,Headmaster,0,0,0,VALID
ATT0009859,2025-02-05,Wednesday,SCH0089,1,258,187,0.7248,0.7248,1.0,,0,0,0,VALID
ATT0004742,2025-02-05,Wednesday,SCH0093,1,159,98,0.6164,0.6164,1.0,Class Teacher,0,0,0,VALID
ATT0002365,2025-02-05,Wednesday,SCH0112,4,172,134,0.7791,0.7791,1.0,Headmaster,0,0,0,VALID
ATT0007658,2025-02-05,Wednesday,SCH0179,9,277,219,0.7906,0.7906,1.0,Class Teacher,0,0,0,VALID
ATT0006192,2025-02-05,Wednesday,SCH0181,4,177,163,0.9209,0.9209,1.0,Clerk,0,0,0,VALID
ATT0000994,2025-02-05,Wednesday,SCH0275,7,242,164,0.6777,0.6777,1.0,Admin,0,0,0,VALID
ATT0013155,2025-02-05,Wednesday,SCH0281,9,244,227,0.9303,0.9303,1.0,Headmaster,0,0,0,VALID
ATT0018868,2025-02-05,Wednesday,SCH0300,2,259,216,0.834,0.834,1.0,Class Teacher,0,0,0,VALID
ATT0018918,2025-02-05,Wednesday,SCH0333,3,170,163,0.9588,0.9588,0.0,,0,0,0,VALID
ATT0014717,2025-02-05,Wednesday,SCH0358,2,128,94,0.7344,0.7344,,Class Teacher,0,0,0,VALID
ATT0009116,2025-02-05,Wednesday,SCH0414,4,81,67,0.8272,0.8272,0.0,,0,0,0,VALID
ATT_GEN_000064,2025-02-05,Wednesday,SCH0490,5,207,202,0.9758,0.9758,,Headmaster,0,0,0,VALID
ATT0012382,2025-02-05,Wednesday,SCH0497,4,106,103,0.9717,0.9717,1.0,,0,0,0,VALID
ATT0015887,2025-02-05,Wednesday,SCH0575,7,193,181,0.9378,0.9378,1.0,Clerk,0,0,0,VALID
ATT0001181,2025-02-05,Wednesday,SCH0578,9,270,202,0.7481,0.7481,1.0,Class Teacher,0,0,0,VALID
ATT0014938,2025-02-05,Wednesday,SCH0578,6,58,46,0.7931,0.7931,1.0,Headmaster,0,0,0,VALID
ATT0002313,2025-02-05,Wednesday,SCH0584,6,117,74,0.6325,0.6325,1.0,Headmaster,0,0,0,VALID
ATT0010167,2025-02-06,Thursday,SCH0017,9,160,111,0.6938,0.6938,1.0,Headmaster,0,0,0,VALID
ATT0015850,2025-02-06,Thursday,SCH0036,4,291,269,0.9244,0.9244,1.0,Headmaster,0,0,0,VALID
ATT0011188,2025-02-06,Thursday,SCH0130,8,207,165,0.7971,0.7971,1.0,Class Teacher,0,0,0,VALID
ATT0012256,2025-02-06,Thursday,SCH0131,9,219,189,0.863,0.863,1.0,Class Teacher,0,0,0,VALID
ATT0015837,2025-02-06,Thursday,SCH0145,5,155,111,0.7161,0.7161,1.0,Admin,0,0,0,VALID
ATT0009539,2025-02-06,Thursday,SCH0189,4,110,67,0.6091,0.6091,1.0,Admin,0,0,0,VALID
ATT0009405,2025-02-06,Thursday,SCH0191,2,96,64,0.6667,0.6667,1.0,Class Teacher,0,0,0,VALID
ATT0004019,2025-02-06,Thursday,SCH0198,4,50,34,0.68,0.68,0.0,Class Teacher,0,0,0,VALID
ATT0019601,2025-02-06,Thursday,SCH0226,9,95,110,1.1579,1.0,1.0,,0,0,1,INVALID_OVERFLOW
ATT_GEN_000026,2025-02-06,Thursday,SCH0363,10,266,171,0.6429,0.6429,1.0,Class Teacher,0,0,0,VALID
ATT0000035,2025-02-06,Thursday,SCH0365,2,84,77,0.9167,0.9167,1.0,Class Teacher,0,0,0,VALID
ATT0000381,2025-02-06,Thursday,SCH0429,3,55,44,0.8,0.8,1.0,Class Teacher,0,0,0,VALID
ATT0018313,2025-02-06,Thursday,SCH0444,4,128,114,0.8906,0.8906,1.0,Headmaster,0,0,0,VALID
ATT0009881,2025-02-06,Thursday,SCH0480,7,297,211,0.7104,0.7104,1.0,,0,0,0,VALID
